0.44,0.2,2.1439
0.57,0.61,1.8228
0.4,0.81,5.7285
0.34,0.11,3.0365
0.02,0.9,4.8226
0.42,0.84,5.612
0.98,0.21,0.68533
0.87,0.59,0.71219
0.4,0.08,2.1666
0,0.74,3.6907
0.02,0.7,3.8726
0.29,0.94,7.664
0.83,0.8,1.4077
0.2,0.83,7.0468
0.77,0.17,-2.1409
0.96,0.89,3.7492
0.98,0.33,1.2785
0.79,0.15,-2.1322
0.75,0.85,1.2773
0.24,0.01,3.1167
0.25,0.77,6.8271
0.42,0.32,3.0996
0.96,0.85,3.5501
1,0.78,3.9487
0.66,0.66,0.77875
0.95,0.94,3.856
0.03,0.03,0.75656
0.88,0.17,-1.16
0.08,0.76,5.3083
0.25,0.71,6.5258
0.01,0.44,2.422
0.99,0.92,4.3953
0.36,0.93,6.9858
0.89,0.74,1.7128
0.74,0.78,0.93144
0.43,0.98,6.2374
0.17,0.85,6.8546
0.03,0.74,4.2523
0.31,0.04,2.9153
0.46,0.49,3.168
0.88,0.28,-0.65332
0.51,0.85,4.0672
0.19,0.4,4.8175
0.78,0.35,-1.0967
0.44,0.23,2.2348
0.93,0.35,0.39846
0.91,0.98,3.3534
0.26,0.28,4.3167
0.24,0.5,5.4749
0.53,0.5,1.8372
0.86,0.28,-0.8985
0.63,0.56,0.62667
0.54,0.07,-0.32896
0.02,0.19,1.3017
0.96,0.82,3.3414
0.92,0.67,1.9532
0.99,0.07,0.24643
0.48,0.35,2.0949
0.83,0.92,1.9153
0.63,0.52,0.42019
0.8,0.48,-0.48528
0.63,0.98,2.8188
0.62,0.73,1.5255
0.39,0.86,6.1666
0.89,0.76,1.7733
0.04,0.78,4.7591
0.35,0.61,5.4293
0.71,0.16,-2.0822
0.57,0.83,2.83
0.33,0.15,3.3931
0.91,0.65,1.6141
0.61,0.35,-0.15491
0.58,0.23,-0.26788
0.9,0.31,-0.20135
0.69,0.7,0.64409
0.57,0.34,0.44862
0.82,0.26,-1.4835
0.68,0.02,-2.5431
0.91,0.32,-0.043893
0.1,0.07,2.1198
0.29,0.91,7.519
1,0.73,3.7571
0.31,0.32,4.3442
0.92,0.71,2.0841
0.63,0.03,-1.9902
0.77,0.84,1.2728
0.22,0.9,7.4306
0.34,0.26,3.7934
0.5,0.78,3.9755
0.6,0.19,-0.79739
0.12,0.14,2.7998
0.76,0.96,1.6662
0.66,0.1,-2.1185
0.7,0.07,-2.4653
0.05,0.12,1.4324
0.29,0.16,3.8195
0.38,0.42,4.119
0.26,0.27,4.2651
0.62,0.17,-1.1414
0.6,0.16,-1.08
0.72,0.14,-2.1618
0.2,0.44,5.0552
0.69,0.03,-2.5773
0.17,0.83,6.7931
0.34,0.45,4.7837
0.09,0.11,2.1258
0.35,0.9,7.0118
0.32,0.45,5.0457
0.88,0.9,2.5999
0.27,0.94,7.7338
0.35,0.03,2.5552
